timestamp,bid
1514872801.247,1.25372
1514872801.497,1.25376
1514872801.747,1.25373
1514872802.247,1.25377
1514872802.497,1.25377
1514872802.747,1.25379
1514872802.997,1.25379
1514872803.747,1.25379
1514872803.997,1.25379
1514872804.747,1.25379
1514872809.247,1.25378
1514872809.497,1.25379
1514872815.997,1.25378
1514872816.247,1.25382
1514872816.497,1.2538
1514872816.747,1.25383
1514872816.997,1.25383
1514872818.997,1.25381
1514872821.497,1.25381
1514872823.747,1.25383
1514872826.997,1.25385
1514872829.747,1.25387
1514872829.997,1.25389
1514872830.247,1.25392
1514872830.497,1.25392
1514872830.747,1.25394
1514872830.997,1.25393
1514872831.247,1.25394
1514872831.497,1.25392
1514872831.747,1.25392
1514872832.747,1.2539
1514872832.997,1.25391
1514872836.497,1.25389
1514872836.747,1.25392
1514872839.997,1.2539
1514872840.247,1.25391
1514872840.497,1.25394
1514872843.747,1.25393
1514872843.997,1.25391
1514872847.247,1.25391
1514872847.497,1.25393
1514872850.747,1.25392
1514872850.997,1.25392
1514872851.247,1.25393
1514872851.497,1.25393
1514872853.497,1.25394
1514872854.497,1.25392
1514872856.497,1.25394
1514872856.747,1.25394
1514872857.497,1.25395
1514872857.747,1.25396
1514872857.997,1.25396
1514872858.747,1.25398
1514872858.997,1.25402
1514872859.247,1.254
1514872859.747,1.25399
1514872860.247,1.25396
1514872860.497,1.25396
1514872860.747,1.25395
1514872861.497,1.25395
1514872862.497,1.25392
1514872862.747,1.25392
1514872863.247,1.25394
1514872863.497,1.25393
1514872864.747,1.25389
1514872864.997,1.25391
1514872866.497,1.25393
1514872866.747,1.25393
1514872866.997,1.25391
1514872867.247,1.25397
1514872867.747,1.25394
1514872867.997,1.25395
1514872868.247,1.25397
1514872868.497,1.25395
1514872868.747,1.25397
1514872868.997,1.25394
1514872869.497,1.25394
1514872869.747,1.2539
1514872870.247,1.25388
1514872870.497,1.25386
1514872870.997,1.25386
1514872871.497,1.25385
1514872872.497,1.25384
1514872872.747,1.25383
1514872875.997,1.25383
1514872876.247,1.25384
1514872876.497,1.25386
1514872876.747,1.25389
1514872878.247,1.25386
1514872878.497,1.25385
1514872878.747,1.25387
1514872879.247,1.25383
1514872879.497,1.25384
1514872879.747,1.25384
1514872879.997,1.25388
1514872880.247,1.25384
1514872889.247,1.25389
1514872889.497,1.25389
1514872891.997,1.25388
1514872892.247,1.25391
1514872892.497,1.25391
1514872895.497,1.25389
1514872895.747,1.25386
1514872895.997,1.25388
1514872896.247,1.25387
1514872896.497,1.25385
1514872896.997,1.25384
1514872897.247,1.25384
1514872901.497,1.25384
1514872902.497,1.25384
1514872904.997,1.25386
1514872905.247,1.2539
1514872905.497,1.25391
1514872906.997,1.25391
1514872908.747,1.25388
1514872908.997,1.25386
1514872909.247,1.25388
