"HOUSEID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","NUMADLT","HOMEOWN","HOMETYPE","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CNTTDHH","CDIVMSAR","FLAG100","HHFAMINC","HHFAMINC_IMP","HH_RACE","HHSIZE","HHVEHCNT","HHRELATD","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","PPT517","YOUNGCHILD","RESP_CNT","URBRUR_2010","TDAYDATE","WRKCOUNT","STRATUMID"
"9000013267",3598.3612718,6928.6461747,0,1,"03","03","02","01","01","02",1,0,"13","01","04","04","01",1,1,"02","09","03","01","04","04","06","02",0,0,1,"02","202202",0,"1022"
"9000013268",7112.3776207,0,13986.495325,2,"01","01","02","01","01","02",2,15,"13","01","06","06","01",4,2,"01","06","03","01","01","02","06","01",2,0,4,"01","202202",2,"1022"
"9000013269",5872.1195301,11952.42952,0,2,"02","01","02","01","01","02",2,0,"13","01","06","06","01",2,2,"01","10","03","01","06","01","03","01",0,0,2,"01","202202",0,"1022"
"9000013284",6257.3760212,15236.883052,0,3,"01","01","02","01","01","02",3,6,"14","01","11","11","01",3,3,"01","02","04","06","06","02","06","01",0,0,3,"01","202202",3,"1022"
"9000013285",3277.0282144,0,6393.3747465,1,"01","01","02","01","01","02",1,0,"14","01","03","03","01",1,2,"02","01","04","06","01","04","06","02",0,0,1,"02","202202",0,"1022"
"9000013287",5186.7445319,10862.405265,0,2,"02","01","02","01","01","02",2,3,"14","01","07","07","01",2,2,"01","10","04","06","03","04","06","02",0,0,2,"02","202202",1,"1022"
"9000013293",4947.0359661,0,9510.0563329,2,"01","01","02","01","01","02",2,4,"13","01","06","06","01",2,2,"01","10","03","01","01","04","06","02",0,0,2,"02","202202",1,"1022"
"9000013313",11543.877476,14241.893986,0,1,"02","01","02","02","01","02",1,2,"22","01","02","02","01",1,1,"02","09","02","04","06","01","03","01",0,0,1,"01","202201",0,"1023"
"9000013315",18662.567571,23805.762455,0,1,"01","01","01","02","01","02",1,0,"21","01","06","06","03",1,0,"02","01","01","05","03","01","04","01",0,0,1,"01","202201",1,"1023"
"9000013338",4090.1315648,5166.7113646,0,1,"03","03","01","02","01","02",0,2,"21","01","03","03","01",1,0,"02","01","01","05","03","01","04","01",0,0,1,"01","202202",0,"1023"
