DATE,Output,Labor,Consumption
1984-04-01,0.0148035586111988,0.0103821403991295,0.0113733624547123
1984-07-01,0.00741736289503514,0.00155457648141333,0.00472397320683982
1984-10-01,0.00487791803602633,0.00333554710454997,0.00983454075394086
1985-01-01,0.00635316102328076,0.00573373938511024,0.0146483021628239
1985-04-01,0.00817129168101083,0.00433074281178536,0.00675292515022541
1985-07-01,0.0115334599679073,0.000169421633658295,0.0161945057893487
1985-10-01,0.0054141889611401,0.00207645048415595,-0.000790124701728345
1986-01-01,0.00211269547267889,-0.00652256480342217,0.00376917003090327
1986-04-01,0.00292661446218645,-0.00539539216266061,0.00808677650338652
1986-07-01,0.00679778351029903,0.00219647490985331,0.0146830890437002
1986-10-01,0.00264955243287623,0.0045576889632386,0.00318869927640719
1987-01-01,0.00195896953466601,0.00885100880925727,-0.0025054397471429
1987-04-01,0.00838987371987265,0.00260676171876728,0.0106715151284575
1987-07-01,0.0067287604991737,0.00421342159578497,0.00867046287259754
1987-10-01,0.0109543395035629,0.00795182045394194,-0.000347891388937427
1988-01-01,0.0029851958932845,-0.00174459982927377,0.0147877432777808
1988-04-01,0.00786988935031374,0.011812026950599,0.00506449955573629
1988-07-01,0.00582766454926187,0.000122205560197486,0.00640361912533116
1988-10-01,0.00974295618900456,0.00894967544686498,0.0090740727185441
1989-01-01,0.00690599130077807,0.00709004856905615,0.00182917823082462
1989-04-01,-7.64747707755475e-05,0.00161565558606203,0.00247731477866076
1989-07-01,0.00408906493309757,-7.4080233069207e-05,0.00735781312712547
1989-10-01,7.46980579346967e-05,-0.00223457628762347,0.00211358309063847
1990-01-01,0.000639971261200856,-0.00512631346194015,0.000381398251967369
1990-04-01,0.00046949721756917,-0.00655565003477632,0.000939525560145427
1990-07-01,-0.00236166938884708,-0.00748469101371896,0.00164682396359517
1990-10-01,-0.0185962273712992,-0.00698925375861004,-0.0103456634873655
1991-01-01,-0.0107052853691449,-0.0120839172453997,-0.00589996107816937
1991-04-01,0.00493903356663949,-0.00818785085966356,0.00623728325041562
1991-07-01,0.00484088470822464,-0.00363429017140637,0.00253398129382454
1991-10-01,0.00242440901245367,-0.00445024157049412,-0.00326633152889322
1992-01-01,0.0103562818319443,-0.00823905256230129,0.0163404419354869
1992-04-01,0.0123169170995769,0.00153606513775317,0.00451878853764853
1992-07-01,0.00752457397894446,-0.000892546350842682,0.00797667444489392
1992-10-01,0.0118080536452663,0.00326057709371019,0.00878949900361192
1993-01-01,0.00457743546240685,0.00635442348521442,0.00129736870590946
1993-04-01,0.00618006094734724,0.0090111578134584,0.00674265323506873
1993-07-01,0.00543065603097581,0.00325266036865379,0.00843608213876479
1993-10-01,0.0131208488883843,0.0066285107534525,0.0059090349568951
1994-01-01,0.0135451653990586,0.00373458723131126,0.00900193905257218
1994-04-01,0.0127528644440691,0.0139203693412759,0.00552608624086837
1994-07-01,0.000564159273565679,0.00900873422933035,0.00491293546384419
1994-10-01,0.0133168515094511,0.00134135947458791,0.007962648386453
1995-01-01,0.00252715401585135,0.00330165861325948,0.00106316732959932
1995-04-01,0.00122331438755907,-0.00367131290769285,0.0066401584718232
1995-07-01,0.00376176008983897,0.00894046635146895,0.00644629611168668
1995-10-01,0.00736493678451744,-0.000252243842584043,0.00421535519809879
1996-01-01,0.00827576760877058,-0.000291286876920704,0.00705424967333812
1996-04-01,0.0148565206217324,0.00688001798863391,0.00818397440067109
1996-07-01,0.0104796830272118,0.00546163013943213,0.00319229937066723
1996-10-01,0.00313518094047893,0.00835261277724975,0.00491253028586414
1997-01-01,0.00766481559517196,0.00377122776276728,0.00583891307088358
1997-04-01,0.0131460164887169,0.00256838110456448,0.00232188606526051
1997-07-01,0.0136759786874379,0.00319508304167693,0.0142778767160738
1997-10-01,0.0096782613954165,0.00187637836907006,0.00908885938916981
1998-01-01,0.0144715620404909,0.00398618115157978,0.00781296627956429
1998-04-01,0.0101181836673234,0.00258087324750189,0.0149639950351279
1998-07-01,0.0126758781095084,-0.00149178225126922,0.0101408747022553
1998-10-01,0.0146667005688386,0.00925392509274348,0.0113550820576247
1999-01-01,0.00997497582827656,-0.00533060265160712,0.00644893757119114
1999-04-01,0.00946691010236655,0.00284883633286981,0.0125157343804965
1999-07-01,0.0115590509406953,0.00341395828437596,0.00823327712297228
1999-10-01,0.0140844689609327,0.00120023513474576,0.0115614339242089
2000-01-01,-0.00356705390972323,-0.00895839888674299,0.00108356138652432
2000-04-01,0.0164678677905545,-0.000345536441750394,0.00619870422812774
2000-07-01,0.00217461263210517,-0.00362185180118901,0.00635213176829019
2000-10-01,0.00424336691722971,-0.00659301187545358,0.00568975074154565
2001-01-01,-0.00934154890998329,-0.00305519833639245,0.00109182827312004
2001-04-01,-0.00107160649328897,-0.0124982672063618,-0.000952892326045784
2001-07-01,-0.00484153562130629,-0.0157631740358966,0.000284158492698694
2001-10-01,-0.000210444589518133,-0.0144251222414438,0.0128084078228241
2002-01-01,0.00482047342696035,-0.0112562250389647,-0.000328623332711331
2002-04-01,0.00474896634729305,-3.15528747663052e-06,0.00255784171740281
2002-07-01,0.00227324147291696,-0.0066264819259314,0.00392154364501884
2002-10-01,0.00125701543836598,-0.0017956091612672,0.00245160164677394
2003-01-01,-0.0016959679327897,-0.0122989100954762,-0.00222799284741626
2003-04-01,0.00749789731954031,-0.00604179489512591,0.00836953155696563
2003-07-01,0.0149361731301347,-0.0018207303554445,0.0107007091267626
2003-10-01,0.0086385226179253,0.00161644456789922,0.00342233679487336
2004-01-01,0.00745910146368445,0.00367232482555968,0.0089191144709968
