DATE,GPDIC1
2016-07-01,3069.298
2016-10-01,3147.576
2017-01-01,3137.735
2017-04-01,3192.776
2017-07-01,3240.998
2017-10-01,3278.391
2018-01-01,3346.322
2018-04-01,3352.499
2018-07-01,3430.915
2018-10-01,3449.645
2019-01-01,3503.439
2019-04-01,3525.994
2019-07-01,3535.93
2019-10-01,3477.123
2020-01-01,3430.09
2020-04-01,2901.934
2020-07-01,3370.975
2020-10-01,3561.893
2021-01-01,3541.305
2021-04-01,3506.014
2021-07-01,3609.693
2021-10-01,3903.047
2022-01-01,3951.071
