DATE,PCECC96
1947-01-01,1277.44
1947-04-01,1298.692
1947-07-01,1302.925
1947-10-01,1303.34
1948-01-01,1309.834
1948-04-01,1325.075
1948-07-01,1327.031
1948-10-01,1337.622
1949-01-01,1339.787
1949-04-01,1360.322
1949-07-01,1363.407
1949-10-01,1383.396
1950-01-01,1406.429
1950-04-01,1429.591
1950-07-01,1503.003
1950-10-01,1457.694
1951-01-01,1492.942
1951-04-01,1450.753
1951-07-01,1467.654
1951-10-01,1476.205
1952-01-01,1479.625
1952-04-01,1508.601
1952-07-01,1515.837
1952-10-01,1569.313
1953-01-01,1587.743
1953-04-01,1597.302
1953-07-01,1593.497
1953-10-01,1582.812
1954-01-01,1588.65
1954-04-01,1609.28
1954-07-01,1631.059
1954-10-01,1665.291
1955-01-01,1702.656
1955-04-01,1735.274
1955-07-01,1756.707
1955-10-01,1778.767
1956-01-01,1781.657
1956-04-01,1787.583
1956-07-01,1791.625
1956-10-01,1816.324
1957-01-01,1828.956
1957-04-01,1832.145
1957-07-01,1846.623
1957-10-01,1847.391
1958-01-01,1821.834
1958-04-01,1836.897
1958-07-01,1867.373
1958-10-01,1892.738
1959-01-01,1927.43
1959-04-01,1957.197
1959-07-01,1977.643
1959-10-01,1979.871
1960-01-01,1998.811
1960-04-01,2024.025
1960-07-01,2015.934
1960-10-01,2018.545
1961-01-01,2017.795
1961-04-01,2047.823
1961-07-01,2057.782
1961-10-01,2099.173
1962-01-01,2121.409
1962-04-01,2147.489
1962-07-01,2164.796
1962-10-01,2195.427
1963-01-01,2210.805
1963-04-01,2231.667
1963-07-01,2261.942
1963-10-01,2280.79
1964-01-01,2325.554
1964-04-01,2366.691
1964-07-01,2410.408
1964-10-01,2417.288
1965-01-01,2471.196
1965-04-01,2498.45
1965-07-01,2541.38
1965-10-01,2612.826
1966-01-01,2651.397
1966-04-01,2658.191
1966-07-01,2688.546
1966-10-01,2699.747
1967-01-01,2715.303
1967-04-01,2752.426
1967-07-01,2766.518
1967-10-01,2783.447
1968-01-01,2850.153
1968-04-01,2893.553
1968-07-01,2947.784
1968-10-01,2961.081
1969-01-01,2993.913
1969-04-01,3013.227
1969-07-01,3027.918
1969-10-01,3052.118
1970-01-01,3071.056
1970-04-01,3084.968
1970-07-01,3112.014
1970-10-01,3103.565
1971-01-01,3163.139
1971-04-01,3192.21
1971-07-01,3217.661
1971-10-01,3271.05
1972-01-01,3314.222
1972-04-01,3377.314
1972-07-01,3429.362
1972-10-01,3509.838
1973-01-01,3573.918
1973-04-01,3572.307
1973-07-01,3584.881
1973-10-01,3574.188
1974-01-01,3542.211
1974-04-01,3554.966
1974-07-01,3570.236
1974-10-01,3518.05
1975-01-01,3547.557
1975-04-01,3605.909
1975-07-01,3657.158
1975-10-01,3696.485
1976-01-01,3770.391
1976-04-01,3805.081
1976-07-01,3845.144
1976-10-01,3895.034
1977-01-01,3940.944
