DATE,HOANBS
1947-01-01,46.331
1947-04-01,46.343
1947-07-01,46.465
1947-10-01,46.915
1948-01-01,47.213
1948-04-01,47.193
1948-07-01,47.526
1948-10-01,47.085
1949-01-01,46.288
1949-04-01,45.517
1949-07-01,45.036
1949-10-01,44.852
1950-01-01,45.202
1950-04-01,46.324
1950-07-01,47.786
1950-10-01,48.227
1951-01-01,49.040
1951-04-01,49.435
1951-07-01,48.948
1951-10-01,48.971
1952-01-01,49.285
1952-04-01,49.079
1952-07-01,49.434
1952-10-01,50.760
1953-01-01,51.287
1953-04-01,51.377
1953-07-01,50.867
1953-10-01,50.062
1954-01-01,49.388
1954-04-01,49.014
1954-07-01,48.824
1954-10-01,49.432
1955-01-01,50.231
1955-04-01,50.888
1955-07-01,51.417
1955-10-01,52.038
1956-01-01,52.354
1956-04-01,52.469
1956-07-01,52.259
1956-10-01,52.546
1957-01-01,52.596
1957-04-01,52.484
1957-07-01,52.230
1957-10-01,51.145
1958-01-01,49.990
1958-04-01,49.260
1958-07-01,49.854
1958-10-01,50.601
1959-01-01,51.583
1959-04-01,52.563
1959-07-01,52.410
1959-10-01,52.419
1960-01-01,52.748
1960-04-01,52.834
1960-07-01,52.535
1960-10-01,52.047
1961-01-01,51.753
1961-04-01,51.633
1961-07-01,51.936
1961-10-01,52.600
1962-01-01,52.793
1962-04-01,53.422
1962-07-01,53.310
1962-10-01,52.973
1963-01-01,53.293
1963-04-01,53.631
1963-07-01,53.776
1963-10-01,54.196
1964-01-01,55.240
1964-04-01,55.478
1964-07-01,55.835
1964-10-01,56.380
1965-01-01,57.259
1965-04-01,57.826
1965-07-01,57.966
1965-10-01,58.516
1966-01-01,59.360
1966-04-01,59.944
1966-07-01,60.225
1966-10-01,60.065
1967-01-01,59.995
1967-04-01,59.627
1967-07-01,59.824
1967-10-01,60.096
1968-01-01,60.201
1968-04-01,60.778
1968-07-01,61.204
1968-10-01,61.584
1969-01-01,62.158
1969-04-01,62.733
1969-07-01,63.036
1969-10-01,62.845
1970-01-01,62.593
1970-04-01,61.767
1970-07-01,61.456
1970-10-01,60.984
1971-01-01,61.271
1971-04-01,61.470
1971-07-01,61.470
1971-10-01,62.131
1972-01-01,62.830
1972-04-01,63.286
1972-07-01,63.644
1972-10-01,64.310
1973-01-01,65.278
1973-04-01,65.965
1973-07-01,66.411
1973-10-01,66.742
1974-01-01,66.455
1974-04-01,66.631
1974-07-01,66.397
1974-10-01,65.299
1975-01-01,63.246
1975-04-01,62.663
1975-07-01,63.234
1975-10-01,64.324
1976-01-01,65.383
1976-04-01,65.408
1976-07-01,65.670
1976-10-01,66.024
1977-01-01,66.723
1977-04-01,67.997
1977-07-01,68.726
1977-10-01,69.400
1978-01-01,69.724
1978-04-01,71.757
1978-07-01,72.359
1978-10-01,73.236
1979-01-01,73.759
1979-04-01,73.992
1979-07-01,74.674
1979-10-01,74.831
1980-01-01,74.643
1980-04-01,73.278
1980-07-01,72.937
1980-10-01,73.922
1981-01-01,74.342
1981-04-01,74.399
1981-07-01,74.339
1981-10-01,74.007
1982-01-01,72.741
1982-04-01,73.083
1982-07-01,72.554
1982-10-01,71.872
1983-01-01,72.320
1983-04-01,73.168
1983-07-01,74.641
1983-10-01,76.043
1984-01-01,77.507
1984-04-01,78.515
1984-07-01,78.847
1984-10-01,79.351
